stage,delay_weeks,intensity,mean,std,pct_of_baseline
high,0,0.8,4576.846547384823,4634.769288625393,98.66785473453893
high,0,1.0,4638.639970128676,4725.390037437495,100.0
high,0,1.2,4693.484349688361,4800.8611650303965,101.18233749359435
high,2,0.8,4527.364812693876,4543.193801866017,97.60112536969076
high,2,1.0,4584.758466653263,4627.518662037965,98.83842023044701
high,2,1.2,4637.995541740866,4702.326153647869,99.9861073850965
high,4,0.8,4520.92107669606,4538.219602257468,97.46221103188245
high,4,1.0,4579.451967127183,4627.463980397373,98.72402248541286
high,4,1.2,4634.845236565085,4709.254681768256,99.91819297061146
high,6,0.8,4499.516986083984,4507.023752636567,97.00078072580328
high,6,1.0,4553.146709846048,4589.532433688403,98.15693261746596
high,6,1.2,4604.666318646599,4666.620163015833,99.267594560025
high,8,0.8,4479.867300774069,4471.341728682897,96.57717196469113
high,8,1.0,4528.133045151654,4543.952170138689,97.61768695805989
high,8,1.2,4575.337146534639,4613.667704243827,98.63531500608612
low,0,0.8,416.0593775893703,108.7136407948971,99.12347355965993
low,0,1.0,419.7384964914033,109.38123393507351,100.0
low,0,1.2,423.92842541318953,110.51246309406756,100.99822364562934
low,2,0.8,419.56052139744617,109.5735386499831,99.95759857734164
low,2,1.0,423.5782519253817,110.19514634521315,100.91479706199812
low,2,1.2,427.8414314963601,111.11728839339217,101.93047220416743
low,4,0.8,418.5889366381096,109.5011883914397,99.72612475079059
low,4,1.0,422.2227552471739,110.0273887130493,100.59185868738193
low,4,1.2,426.0784378051758,110.80399911299767,101.51045028434802
low,6,0.8,417.40845748438977,109.3671510564981,99.44488317690889
low,6,1.0,420.65719266949276,109.78849307382913,100.2188734618742
low,6,1.2,424.0888535933061,110.3962671122737,101.03644462880281
low,8,0.8,416.48862595991653,109.24575690690813,99.22573922605326
low,8,1.0,419.48410912716025,109.58232160566506,99.93939384488927
low,8,1.2,422.61057623660923,110.06563019848932,100.68425454639346
medium,0,0.8,571.3623180967388,229.47537780881754,99.335026620505
medium,0,1.0,575.1871595902876,229.9687337727518,100.0
medium,0,1.2,579.5098473288796,230.5528429414208,100.75152716233636
medium,2,0.8,574.1526362563625,229.65816442726822,99.82014144149845
medium,2,1.0,578.1124314741655,230.19419179789244,100.50857739695748
medium,2,1.2,582.3677260427764,230.79872499752847,101.24838782173155
medium,4,0.8,573.1998512961648,229.6442234399924,99.6544936268156
medium,4,1.0,576.76737018932,230.16720635041142,100.27472981145094
medium,4,1.2,580.5983027602687,230.76403126523104,100.94076216406421
medium,6,0.8,571.9872205329664,229.4695281809331,99.44366994221488
medium,6,1.0,575.1653793797349,229.92276464434403,99.99621336982415
medium,6,1.2,578.57156977798,230.4241989228536,100.58840155439201
medium,8,0.8,571.1500067970969,229.36435148436388,99.29811493078768
medium,8,1.0,574.0578763557203,229.7639963848902,99.80366682118361
medium,8,1.2,577.1422318429658,230.18829035040403,100.3399019293252
