replicate,sigma,kendall_tau,ranking
0,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
1,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
2,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
3,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
4,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
5,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
6,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
7,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
8,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
9,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
10,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
11,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
12,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
13,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
14,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
15,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
16,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
17,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
18,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
19,0.05,1.0,gradual | reactive_pulse | status_quo | early_hard
